--------------------------------------------------------------------------------
Akash Kank Process Logger : Mon Nov 20 00:26:55 2023
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.0703125}
{'name': 'Registry', 'username': None, 'pid': 108, 'vms': 23.640625}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 128, 'vms': 67.984375}
{'name': 'smss.exe', 'username': None, 'pid': 544, 'vms': 1.09765625}
{'name': 'wininit.exe', 'username': None, 'pid': 888, 'vms': 1.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 920, 'vms': 2.53515625}
{'name': 'csrss.exe', 'username': None, 'pid': 976, 'vms': 2.3203125}
{'name': 'services.exe', 'username': None, 'pid': 1056, 'vms': 5.74609375}
{'name': 'svchost.exe', 'username': None, 'pid': 1112, 'vms': 9.0703125}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 1116, 'vms': 2.0859375}
{'name': 'lsass.exe', 'username': None, 'pid': 1148, 'vms': 8.62890625}
{'name': 'MMSSHOST.exe', 'username': None, 'pid': 1260, 'vms': 35.98828125}
{'name': 'svchost.exe', 'username': None, 'pid': 1272, 'vms': 14.734375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1300, 'vms': 2.328125}
{'name': 'mcapexe.exe', 'username': None, 'pid': 1360, 'vms': 2.5859375}
{'name': 'mcshield.exe', 'username': None, 'pid': 1364, 'vms': 33.14453125}
{'name': 'svchost.exe', 'username': None, 'pid': 1404, 'vms': 11.546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1452, 'vms': 1.61328125}
{'name': 'svchost.exe', 'username': None, 'pid': 1456, 'vms': 3.39453125}
{'name': 'svchost.exe', 'username': None, 'pid': 1524, 'vms': 3.1875}
{'name': 'svchost.exe', 'username': None, 'pid': 1556, 'vms': 1.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1568, 'vms': 2.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1580, 'vms': 3.375}
{'name': 'svchost.exe', 'username': None, 'pid': 1652, 'vms': 2.95703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1660, 'vms': 1.9921875}
{'name': 'csrss.exe', 'username': None, 'pid': 1704, 'vms': 10.84765625}
{'name': 'svchost.exe', 'username': None, 'pid': 1808, 'vms': 2.203125}
{'name': 'svchost.exe', 'username': None, 'pid': 1912, 'vms': 2.7421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1928, 'vms': 7.95703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1960, 'vms': 1.28125}
{'name': 'svchost.exe', 'username': None, 'pid': 1972, 'vms': 2.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 2156, 'vms': 3.63671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2164, 'vms': 1.703125}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 2196, 'vms': 36.3046875}
{'name': 'svchost.exe', 'username': None, 'pid': 2224, 'vms': 1.671875}
{'name': 'MfeAVSvc.exe', 'username': None, 'pid': 2252, 'vms': 18.328125}
{'name': 'svchost.exe', 'username': None, 'pid': 2356, 'vms': 1.8671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2364, 'vms': 3.31640625}
{'name': 'SystemSettings.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 2436, 'vms': 67.453125}
{'name': 'svchost.exe', 'username': None, 'pid': 2480, 'vms': 1.8671875}
{'name': 'dasHost.exe', 'username': None, 'pid': 2532, 'vms': 1.2734375}
{'name': 'AppHelperCap.exe', 'username': None, 'pid': 2584, 'vms': 6.5859375}
{'name': 'DiagsCap.exe', 'username': None, 'pid': 2600, 'vms': 10.6484375}
{'name': 'NetworkCap.exe', 'username': None, 'pid': 2616, 'vms': 5.34375}
{'name': 'SysInfoCap.exe', 'username': None, 'pid': 2648, 'vms': 13.66015625}
{'name': 'svchost.exe', 'username': None, 'pid': 2672, 'vms': 10.21875}
{'name': 'svchost.exe', 'username': None, 'pid': 2788, 'vms': 3.03125}
{'name': 'TouchpointAnalyticsClientService.exe', 'username': None, 'pid': 2800, 'vms': 38.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2824, 'vms': 7.9921875}
{'name': 'svchost.exe', 'username': None, 'pid': 2944, 'vms': 6.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 3080, 'vms': 2.5625}
{'name': 'svchost.exe', 'username': None, 'pid': 3104, 'vms': 1.9296875}
{'name': 'svchost.exe', 'username': None, 'pid': 3192, 'vms': 16.0390625}
{'name': 'dllhost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 3352, 'vms': 1.39453125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 3356, 'vms': 13.82421875}
